LoanID;Title;Genre;Category;Publisher;Author;NumberOfPages;OnLoan;Stock;Language;YearOfPublication
LOAN_000000000001335;Haçl?lar?n Son Kurban? Ermeniler 1;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Selahttin Sert;;0;0;Türkçe;44529,38314
LOAN_000000000001336;Halide;Roman;?iir;Can Yay?nlar?;Bilgesu Erenus;;0;0;Türkçe;44525,37353
LOAN_000000000001337;Halikarnas Bal?kç?s?;Roman;Türk Edebiyat?;Can Yay?nlar?;?adan Gökoval?;;0;0;Türkçe;44525,50841
LOAN_000000000001338;Halime Kaptan;Roman;Türk Edebiyat?;Can Yay?nlar?;R?fat Ilgaz;;0;0;Türkçe;44900,4572
LOAN_000000000001339;Halk ?iirinden Seçmeler;Roman;?iir;Can Yay?nlar?;Bilgi Ekinci;;0;0;Türkçe;45342,38454
LOAN_000000000001340;Haluk'Un Defterinden Ve Londra Mektuplar?;Roman;Türk Edebiyat?;Can Yay?nlar?;Cengiz Da?c?;;0;0;Türkçe;45586,54679
LOAN_000000000001341;Hamasi Türk ?iiri Antolojisi;Roman;?iir;Can Yay?nlar?;Fahri Ersava?;;0;0;Türkçe;45586,54679
LOAN_000000000001342;Hammer;Roman;Tarih ve Co?rafya;Can Yay?nlar?;Joseph Von Hammer;;0;0;Türkçe;45586,54679
LOAN_000000000001343;Han Duvarlar?;Roman;?iir;Can Yay?nlar?;Faruk Nafiz Çaml?bel;282;0;0;Türkçe;44529,40545
LOAN_000000000001344;Han Duvarlar? Toplu ?iirler;Roman;?iir;Yky Yap? Kredi Yay?nlar?;Faruk Nafiz Çaml?bel;282;0;0;Türkçe;44529,60649
LOAN_000000000001345;Handan;Roman;Türk Edebiyat?;Yky Yap? Kredi Yay?nlar?;Ay?e Kulin;;0;0;Türkçe;44901,49242
LOAN_000000000001346;Han?m?n Çiftli?i;Roman;Türk Edebiyat?;Yky Yap? Kredi Yay?nlar?;Orhan Kemal;;0;0;Türkçe;44529,36306
LOAN_000000000001347;Hanma Ve K?zlar?;Roman;Dünya Edebiyat?;Yky Yap? Kredi Yay?nlar?;Marianne Frederiksson;;0;0;Türkçe;44525,46434
LOAN_000000000001348;Hann?bal;Roman;Dünya Edebiyat?;Yky Yap? Kredi Yay?nlar?;Thomas Harr?s;;0;0;Türkçe;44525,46285
LOAN_000000000001349;Harb Ve Sulh 3;Roman;Rus Edebiyat?;Yky Yap? Kredi Yay?nlar?;L.Tolstoy;;0;0;Türkçe;45562,41206
LOAN_000000000001350;Harb Ve Sulh 6;Roman;Rus Edebiyat?;Yky Yap? Kredi Yay?nlar?;L. Tolstoy;;0;0;Türkçe;44529,46253
LOAN_000000000001351;Harb Ve Sulh Iv;Roman;Rus Edebiyat?;Yky Yap? Kredi Yay?nlar?;Tolstoy;;0;0;Türkçe;44525,44642
LOAN_000000000001352;Haremden Mektuplar;Roman;Türk Edebiyat?;Ötüken Yay?nevi;M. Ça?tay Uluçay;;0;0;Türkçe;44526,34619
LOAN_000000000001353;Harita Metod Defteri;Roman;Türk Edebiyat?;Ötüken Yay?nevi;Murathan Mungan;;0;0;Türkçe;44526,42839
LOAN_000000000001354;Haritada Kaybolmak;Roman;Dünya Edebiyat?;Ötüken Yay?nevi;Vladimir Tumanov;;0;0;Türkçe;45562,54299
LOAN_000000000001355;Harput'Tan Yükselen Bayrak;Roman;Türk Edebiyat?;Tedev Yay?nlar?;Esat Kabakl?;88;0;0;Türkçe;45586,54682
LOAN_000000000001356;Hars Ve Medeniyet;Roman;Felsefe ve Psikoloji;Can Yay?nlar?;Ziya Gökalp;;0;0;Türkçe;44526,33037
LOAN_000000000001357;Hastal?k Hastas?;Roman;Dünya Edebiyat?;Can Yay?nlar?;Mol?ere;;0;0;Türkçe;44900,51399
